mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__activation,param_mlpclassifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
707.2199485778808,8.183986232812176,1.0086763858795167,0.034559606395225505,logistic,invscaling,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__learning_rate': 'invscaling'}",0.6462613125661639,0.6407168431976681,0.6503096754700012,0.6493058000972136,0.6255986119717717,0.6424384486605637,0.009058421945966786,10
704.1949380397797,9.311718054865675,0.9935712814331055,0.03222697947087999,logistic,adaptive,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__learning_rate': 'adaptive'}",0.6462613125661639,0.6407168431976681,0.6503096754700012,0.6493058000972136,0.6255986119717717,0.6424384486605637,0.009058421945966786,10
712.9400628566742,18.13650219994311,1.0354551792144775,0.041617134867340325,logistic,constant,"{'mlpclassifier__activation': 'logistic', 'mlpclassifier__learning_rate': 'constant'}",0.6462613125661639,0.6407168431976681,0.6503096754700012,0.6493058000972136,0.6255986119717717,0.6424384486605637,0.009058421945966786,10
382.77096676826477,6.955065846514713,0.7159357070922852,0.0071705472046920135,identity,invscaling,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__learning_rate': 'invscaling'}",0.6512535083517186,0.6473087157821088,0.6566729427043626,0.6497973555367391,0.6226044555843976,0.6455273955918653,0.011864892969701932,4
388.85585350990294,4.2044515162962295,0.8740419387817383,0.2446022297957273,identity,adaptive,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__learning_rate': 'adaptive'}",0.6512535083517186,0.6473087157821088,0.6566729427043626,0.6497973555367391,0.6226044555843976,0.6455273955918653,0.011864892969701932,4
386.57674808502196,6.985775170225969,0.7251610279083252,0.024715914828183475,identity,constant,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__learning_rate': 'constant'}",0.6512535083517186,0.6473087157821088,0.6566729427043626,0.6497973555367391,0.6226044555843976,0.6455273955918653,0.011864892969701932,4
735.920990228653,12.679808192763867,1.1038215637207032,0.037845830106798796,tanh,invscaling,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__learning_rate': 'invscaling'}",0.6477691789472393,0.6471388410625268,0.655287243321543,0.6507539298954678,0.6244262430315538,0.6450750872516661,0.010718482755045576,7
734.9421621799469,11.149671634435654,1.0901238441467285,0.03899463156205774,tanh,adaptive,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__learning_rate': 'adaptive'}",0.6477691789472393,0.6471388410625268,0.655287243321543,0.6507539298954678,0.6244262430315538,0.6450750872516661,0.010718482755045576,7
738.429257106781,8.460737411316257,1.108173131942749,0.043519986099262394,tanh,constant,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__learning_rate': 'constant'}",0.6477691789472393,0.6471388410625268,0.655287243321543,0.6507539298954678,0.6244262430315538,0.6450750872516661,0.010718482755045576,7
485.1962341785431,2.562502919216806,0.7712823390960694,0.012954721580156073,relu,invscaling,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__learning_rate': 'invscaling'}",0.651994860168048,0.6453906433966338,0.6578503200169792,0.6498660479856779,0.6235335355461203,0.6457270814226919,0.011798776866651345,1
488.38062357902527,3.4131626712360847,0.7786402702331543,0.02574710740257409,relu,adaptive,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__learning_rate': 'adaptive'}",0.651994860168048,0.6453906433966338,0.6578503200169792,0.6498660479856779,0.6235335355461203,0.6457270814226919,0.011798776866651345,1
480.70857310295105,11.975010884580062,0.7489832878112793,0.12221818471181657,relu,constant,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__learning_rate': 'constant'}",0.651994860168048,0.6453906433966338,0.6578503200169792,0.6498660479856779,0.6235335355461203,0.6457270814226919,0.011798776866651345,1
