mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__solver,param_mlpclassifier__learning_rate,param_mlpclassifier__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
689.7518851280213,40.88403093556216,0.8138003826141358,0.060947318754977844,sgd,adaptive,relu,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__activation': 'relu'}",0.647939096249209,0.6461675823607579,0.6563939776182154,0.6476222818807459,0.6260820050720828,0.6448409886362022,0.010044548099156735,3,0.6487301178282561,0.6514673229884497,0.647836905456461,0.6496564137488882,0.6606697858942899,0.6516721091832689,0.004656763949888668
694.7528431892395,15.642255315323291,1.0397427558898926,0.05627677714642165,lbfgs,invscaling,logistic,"{'mlpclassifier__solver': 'lbfgs', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__activation': 'logistic'}",0.6475076973777495,0.6444516291047854,0.6542671881010561,0.6437579064797875,0.6259200521972706,0.6431808946521299,0.009396930511736555,5,0.6464132610322657,0.649592738901295,0.6455084518351474,0.645865888914889,0.6578474345539732,0.649045555047514,0.0046329869554893755
730.7867621898652,18.92288919539123,1.088916540145874,0.024597978613687604,sgd,adaptive,tanh,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__activation': 'tanh'}",0.6455821062911739,0.644617392514961,0.6537713754247793,0.6443499447708356,0.6268656433289541,0.6430372924661407,0.008802711200767465,7,0.6459277496491973,0.6488616555723797,0.6455559485471628,0.6476390477805126,0.6584896057068085,0.6492948014512122,0.004749518285988306
736.881688117981,102.47575942912603,1.6740153789520265,0.08845049069413122,adam,invscaling,relu,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__activation': 'relu'}",0.6478095482316218,0.6491190587825503,0.6554234421227616,0.653540327705974,0.6169705103656853,0.6445725774417186,0.014079661845906807,4,0.6509666704506024,0.6557954725745329,0.6520099244378841,0.6633727679652454,0.6668436527976086,0.6577976976451747,0.00627823016715861
693.5966676235199,13.783934633749592,1.0567256927490234,0.0628570879612377,lbfgs,adaptive,logistic,"{'mlpclassifier__solver': 'lbfgs', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__activation': 'logistic'}",0.6475076973777495,0.6444516291047854,0.6542671881010561,0.6437579064797875,0.6259200521972706,0.6431808946521299,0.009396930511736555,5,0.6464132610322657,0.649592738901295,0.6455084518351474,0.645865888914889,0.6578474345539732,0.649045555047514,0.0046329869554893755
471.9097816467285,4.665569880178461,0.8091104984283447,0.017406304661318386,lbfgs,invscaling,relu,"{'mlpclassifier__solver': 'lbfgs', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__activation': 'relu'}",0.6484346846655688,0.6428943605441937,0.6523926333655309,0.6495141090920853,0.62190739352297,0.6430286362380697,0.01100087345382955,8,0.6485810547340033,0.6513278943069425,0.6457678122562341,0.6508086678966966,0.6625595966890092,0.6518090051765771,0.00572229038358053
624.2578562736511,83.23179121477733,1.1487030029296874,0.013489280749892781,adam,invscaling,tanh,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__activation': 'tanh'}",0.6546605645428661,0.6484890487763577,0.6620353048021921,0.6468314869960344,0.6146723716111854,0.6453377553457271,0.01623730626238919,2,0.6570327738699202,0.653724548584658,0.6549890967404451,0.6534996136754861,0.6571946508641877,0.6552881367469394,0.0015755381565662593
604.3459435462952,101.1547000703566,1.1629715442657471,0.07149109450207822,adam,invscaling,logistic,"{'mlpclassifier__solver': 'adam', 'mlpclassifier__learning_rate': 'invscaling', 'mlpclassifier__activation': 'logistic'}",0.6517928736560312,0.6542061590772835,0.6577667379559272,0.6542202848700881,0.6232630297985224,0.6482498170715705,0.012637951314437868,1,0.6532907233976256,0.6593633974227594,0.6515389722684187,0.660387753655289,0.6666308616083196,0.6582423416704823,0.0053977867722312025
448.30299344062803,15.306891061074856,0.7672985076904297,0.017868225527740225,sgd,adaptive,identity,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__activation': 'identity'}",0.6455362260681267,0.6435848413565685,0.6534846003867035,0.6438732333216913,0.6269028303258688,0.6426763462917917,0.008672473426740013,9,0.6454014658717465,0.648345134674296,0.6449763858572025,0.6470568787182546,0.6581230904755817,0.6487805911194163,0.004823558149208134
802.4437326908112,110.78334767921456,1.02152738571167,0.18348846595271123,sgd,adaptive,logistic,"{'mlpclassifier__solver': 'sgd', 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__activation': 'logistic'}",0.6447905670069013,0.640835226877532,0.6497033646089676,0.6435183328524651,0.6264670086379792,0.641062899996769,0.007844414065674174,10,0.6451132313590039,0.6455232358948265,0.6431854003591454,0.6444406822097768,0.6538218756540347,0.6464168850953574,0.0037862878542806633
